id,Sections,Chebyshev Coding Exercises,Chebyshev Coding Exercises - Max Points,Chebyshev Coding Exercises - Submission Time,Chebyshev Coding Exercises - Lateness (H:M:S),Chebyshev Handwritten Exercises,Chebyshev Handwritten Exercises - Max Points,Chebyshev Handwritten Exercises - Submission Time,Chebyshev Handwritten Exercises - Lateness (H:M:S),Chebyshev Final Assessment,Chebyshev Final Assessment - Max Points,Chebyshev Final Assessment - Submission Time,Chebyshev Final Assessment - Lateness (H:M:S),Total Lateness (H:M:S)
0,1,,14.0,,00:00:00,,8.0,,00:00:00,45.1,61.0,2026-01-20 18:12:09 -0800,00:00:00,00:00:00
1,2,13.0,14.0,2026-01-20 13:20:14 -0800,00:00:00,,8.0,,00:00:00,46.0,61.0,2026-01-20 13:49:55 -0800,00:00:00,00:00:00
2,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
3,4,12.0,14.0,2026-01-19 17:14:03 -0800,00:00:00,8.0,8.0,2026-01-19 17:20:44 -0800,00:00:00,51.0,61.0,2026-01-19 17:27:05 -0800,00:00:00,00:00:00
4,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
5,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
6,3,,14.0,,00:00:00,8.0,8.0,2026-02-03 23:50:42 -0800,00:00:00,31.3,61.0,2026-02-04 03:59:50 -0800,00:00:00,00:00:00
7,4,14.0,14.0,2026-01-20 15:15:28 -0800,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
8,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
9,2,12.6667,14.0,2026-01-20 18:21:41 -0800,00:00:00,,8.0,,00:00:00,41.2,61.0,2026-01-20 18:40:47 -0800,00:00:00,00:00:00
10,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
11,4,13.0,14.0,2026-01-18 16:16:07 -0800,00:00:00,8.0,8.0,2026-01-18 16:18:45 -0800,00:00:00,56.0,61.0,2026-01-18 16:25:38 -0800,00:00:00,00:00:00
12,1,,14.0,,00:00:00,,8.0,,00:00:00,6.5,61.0,2026-01-16 20:45:36 -0800,00:00:00,00:00:00
13,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
14,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
15,4,14.0,14.0,2026-01-17 23:55:36 -0800,00:00:00,8.0,8.0,2026-01-18 02:26:17 -0800,00:00:00,21.3,61.0,2026-01-18 13:32:33 -0800,00:00:00,00:00:00
16,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
17,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
18,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
19,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
20,1,,14.0,,00:00:00,,8.0,,00:00:00,35.1,61.0,2026-02-03 23:34:39 -0800,00:00:00,00:00:00
